Antonio Floro Flores;1983;20/03/2013 FW GENOA
Ciro Immobile;1990;20/03/2013 FW GENOA
Marco Borriello;1982;20/03/2013 FW GENOA
Linus Hallenius;1989;20/03/2013 FW GENOA
Ahmed Said Sayd;1993;20/03/2013 FW GENOA
Luca Castellazzi;1975;20/03/2013 GK INTER
Samir Handanovic;1984;20/03/2013 GK INTER
Juan Pablo Carrizo;1984;20/03/2013 GK INTER
Vid Belec;1990;20/03/2013 GK INTER
Raffaele Di Gennaro;1993;20/03/2013 GK INTER
Javier Aldemar Zanetti;1973;20/03/2013 DF INTER
Walter Adrian Samuel;1978;20/03/2013 DF INTER
Cristian Eugen Chivu;1980;20/03/2013 DF INTER
Andrea Ranocchia;1988;20/03/2013 DF INTER
Matias Agustin Silvestre;1984;20/03/2013 DF INTER
Alvaro Daniel Barragan Pereira;1985;20/03/2013 DF INTER
Yuto Nagatomo;1986;20/03/2013 DF INTER
Cicero Moreira Jonathan;1986;20/03/2013 DF INTER
Guilherme Nunes Juan Jesus;1991;20/03/2013 DF INTER
Ibrahima Mbaye;1994;20/03/2013 DF INTER
Andrea Bandini;1994;20/03/2013 DF INTER
Isaac Donkor;1995;20/03/2013 DF INTER
Dejan Stankovic;1978;20/03/2013 MF INTER
Esteban Matias Cambiasso;1980;20/03/2013 MF INTER
Gaby Mudingayi;1981;20/03/2013 MF INTER
Zdravko Kuzmanovic;1987;20/03/2013 MF INTER
Freddy Alejandro Vasquez Guarin;1986;20/03/2013 MF INTER
Ezequiel Matias Schelotto;1989;20/03/2013 MF INTER
Walter Alejandro Guevara Gargano;1984;20/03/2013 MF INTER
Joel Chukwuma Obi;1991;20/03/2013 MF INTER
Ricardo Gabriel Alvarez;1988;20/03/2013 MF INTER
Mateo Kovacic;1994;20/03/2013 MF INTER
Marco Benassi;1994;20/03/2013 MF INTER
Simone Pasa;1994;20/03/2013 MF INTER
Antonio Cassano;1982;20/03/2013 FW INTER
Tommaso Rocchi;1977;20/03/2013 FW INTER
Diego Alberto Milito;1979;20/03/2013 FW INTER
Rodrigo Sebastian Palacio;1982;20/03/2013 FW INTER
Matteo Colombi;1994;20/03/2013 FW INTER
Luca Garritano;1994;20/03/2013 FW INTER
Niccolo' Belloni;1994;20/03/2013 FW INTER
Giovanni Terrani;1994;20/03/2013 FW INTER
Marco Storari;1977;20/03/2013 GK JUVENTUS
Rubens Fernando Moedim Rubinho;1983;20/03/2013 GK JUVENTUS
Gianluigi Buffon;1978;20/03/2013 GK JUVENTUS
Constantin Laurentiu Branescu;1994;20/03/2013 GK JUVENTUS
Paolo De Ceglie;1986;20/03/2013 DF JUVENTUS
Stephan Lichtsteiner;1984;20/03/2013 DF JUVENTUS
Leonardo Bonucci;1987;20/03/2013 DF JUVENTUS
Jose' Martin Caceres;1987;20/03/2013 DF JUVENTUS
Federico Peluso;1984;20/03/2013 DF JUVENTUS
Andrea Barzagli;1981;20/03/2013 DF JUVENTUS
Giorgio Chiellini;1984;20/03/2013 DF JUVENTUS
Daniele Rugani;1994;20/03/2013 DF JUVENTUS
Pol Garcia Tena;1995;20/03/2013 DF JUVENTUS
Claudio Marchisio;1986;20/03/2013 MF JUVENTUS
Simone Padoin;1984;20/03/2013 MF JUVENTUS
Kwadwo Asamoah;1988;20/03/2013 MF JUVENTUS
Mauricio Anibal Isla;1988;20/03/2013 MF JUVENTUS
Luca Marrone;1990;20/03/2013 MF JUVENTUS
Arturo Erasmo Pardo Vidal;1987;20/03/2013 MF JUVENTUS
Simone Pepe;1983;20/03/2013 MF JUVENTUS
Emanuele Giaccherini;1985;20/03/2013 MF JUVENTUS
Andrea Pirlo;1979;20/03/2013 MF JUVENTUS
Paul Labile Pogba;1993;20/03/2013 MF JUVENTUS
Elvis Kabashi;1994;20/03/2013 MF JUVENTUS
Andrea Schiavone;1993;20/03/2013 MF JUVENTUS
Nicolas Anelka;1979;20/03/2013 FW JUVENTUS
Nicklas Bendtner;1988;20/03/2013 FW JUVENTUS
Mirko Vucinic;1983;20/03/2013 FW JUVENTUS
Sebastian Giovinco;1987;20/03/2013 FW JUVENTUS
Fabio Quagliarella;1983;20/03/2013 FW JUVENTUS
Alessandro Matri;1984;20/03/2013 FW JUVENTUS
Stefano Beltrame;1993;20/03/2013 FW JUVENTUS
Jose' Francisco Enriquez Cevallos;1995;20/03/2013 FW JUVENTUS
Christian Abbiati;1977;20/03/2013 GK MILAN
Marco Amelia;1982;20/03/2013 GK MILAN
Vasconcellos Ferreira Gabriel;1992;20/03/2013 GK MILAN
Davide Narduzzo;1994;20/03/2013 GK MILAN
Lazar Petkovic;1995;20/03/2013 GK MILAN
Mario Alberto Diaz Yepes;1976;20/03/2013 DF MILAN
Philippe Mexes;1982;20/03/2013 DF MILAN
Cristian Eduardo Valencia Zapata;1986;20/03/2013 DF MILAN
Cristian Zaccardo;1981;20/03/2013 DF MILAN
Luca Antonini;1982;20/03/2013 DF MILAN
Ignazio Abate;1986;20/03/2013 DF MILAN
Daniele Bonera;1981;20/03/2013 DF MILAN
Rossello' Didac Vila';1989;20/03/2013 DF MILAN
Mattia De Sciglio;1992;20/03/2013 DF MILAN
Massimo Ambrosini;1977;20/03/2013 MF MILAN
Nigel De Jong;1984;20/03/2013 MF MILAN
Sulley Ali' Muntari;1984;20/03/2013 MF MILAN
Riccardo Montolivo;1985;20/03/2013 MF MILAN
Antonio Nocerino;1985;20/03/2013 MF MILAN
Kevin Prince Boateng;1987;20/03/2013 MF MILAN
Stephan El Shaarawy;1992;20/03/2013 MF MILAN
Bartosz Salamon;1991;20/03/2013 MF MILAN
Mathieu Pierre Flamini;1984;20/03/2013 MF MILAN
Bakaye Traore';1985;20/03/2013 MF MILAN
Kevin Constant;1987;20/03/2013 MF MILAN
Bryan Cristante;1995;20/03/2013 MF MILAN
Giampaolo Pazzini;1984;20/03/2013 FW MILAN
Mario Barwuah Balotelli;1990;20/03/2013 FW MILAN
Perez Krkic Bojan;1990;20/03/2013 FW MILAN
Robson De Souza Robinho;1984;20/03/2013 FW MILAN
M'baye Niang;1994;20/03/2013 FW MILAN
Andrea Petagna;1995;20/03/2013 FW MILAN
Morgan De Sanctis;1977;20/03/2013 GK NAPOLI
Roberto Colombo;1975;20/03/2013 GK NAPOLI
Antonio Rosati;1983;20/03/2013 GK NAPOLI
Diamante Crispino;1994;20/03/2013 GK NAPOLI
Paolo Cannavaro;1981;20/03/2013 DF NAPOLI
Alessandro Gamberini;1981;20/03/2013 DF NAPOLI
Hugo Armando Campagnaro;1980;20/03/2013 DF NAPOLI
Leandro Rinaudo;1983;20/03/2013 DF NAPOLI
Jorge Pires Da Fonseca Rolando;1985;20/03/2013 DF NAPOLI
Miguel Angel Britos;1985;20/03/2013 DF NAPOLI
Gianluca Grava;1977;20/03/2013 DF NAPOLI
Giandomenico Mesto;1982;20/03/2013 DF NAPOLI
Christian Maggio;1982;20/03/2013 MF NAPOLI
Valon Behrami;1985;20/03/2013 MF NAPOLI
Blerim Dzemaili;1986;20/03/2013 MF NAPOLI
Gokhan Inler;1984;20/03/2013 MF NAPOLI
Juan Camilo Mosquera Zuniga;1985;20/03/2013 MF NAPOLI
Omar El Kaddouri;1990;20/03/2013 MF NAPOLI
Marco Donadel;1983;20/03/2013 MF NAPOLI
Marek Hamsik;1987;20/03/2013 MF NAPOLI
Pablo Estifer Armero;1986;20/03/2013 MF NAPOLI
Josip Radosevic;1994;20/03/2013 MF NAPOLI
Edinson Roberto Gomez Cavani;1987;20/03/2013 FW NAPOLI
Emanuele Calaio';1982;20/03/2013 FW NAPOLI
Goran Pandev;1983;20/03/2013 FW NAPOLI
Lorenzo Insigne;1991;20/03/2013 FW NAPOLI
Roberto Insigne;1994;20/03/2013 FW NAPOLI
Stefano Sorrentino;1979;20/03/2013 GK PALERMO
Francesco Benussi;1981;20/03/2013 GK PALERMO
